"";"player_id";"fantasy_pts";"year"
"88";"12249";"1.3";"2018"
"89";"11993";"7.1";"2018"
"90";"11981";"83.4";"2018"
"91";"11839";"125.3";"2018"
"92";"11827";"68.3";"2018"
"93";"11764";"73.8";"2018"
"94";"11762";"142.8";"2018"
"95";"11440";"25.9";"2018"
"96";"11371";"0";"2018"
"97";"11354";"0";"2018"
"98";"11254";"129.5";"2018"
"99";"11141";"51.3";"2018"
"100";"11123";"11.5";"2018"
"101";"11035";"45.4";"2018"
"102";"10875";"3.5";"2018"
"103";"10820";"49.8";"2018"
"104";"10760";"48.4";"2018"
"105";"10741";"33.9";"2018"
"106";"10681";"249.6";"2018"
"107";"10674";"137.9";"2018"
"108";"10656";"82.9";"2018"
"109";"10655";"90.3";"2018"
"110";"9914";"0";"2018"
"111";"9579";"198.6";"2018"
"112";"9572";"7";"2018"
"113";"9540";"32.3";"2018"
"114";"9474";"100.9";"2018"
"115";"9459";"41.7";"2018"
"116";"9447";"48.9";"2018"
"117";"9440";"8.5";"2018"
"118";"8914";"29.3";"2018"
"119";"8843";"67.9";"2018"
"120";"8777";"56";"2018"
"121";"8759";"11";"2018"
"122";"8753";"37.4";"2018"
"123";"8691";"15.3";"2018"
"124";"8688";"272.1";"2018"
"125";"8655";"181.5";"2018"
"126";"8005";"2.7";"2018"
"127";"7855";"2.8";"2018"
"128";"7808";"257.3";"2018"
"129";"7618";"118.2";"2018"
"130";"7416";"-1.1";"2018"
"131";"7211";"4.9";"2018"
"132";"7100";"33.6";"2018"
"133";"7092";"193.9";"2018"
"134";"7048";"137.4";"2018"
"135";"7037";"3.3";"2018"
"136";"6330";"61.6";"2018"
"137";"6210";"39.5";"2018"
"138";"5718";"271.7";"2018"
"139";"5007";"0";"2018"
"140";"4933";"102.7";"2018"
"141";"4350";"110.9";"2018"
"142";"3625";"43";"2018"
"143";"48036";"5.5";"2018"
"144";"48017";"39.4";"2018"
"145";"47477";"9.5";"2018"
"146";"45416";"43.9";"2018"
"147";"38276";"18";"2018"
"148";"22489";"6";"2018"
"149";"11991";"0";"2018"
"150";"11932";"37.3";"2018"
"151";"11894";"-0.4";"2018"
"152";"11824";"115.1";"2018"
"153";"11107";"19.6";"2018"
"154";"10918";"81.9";"2018"
"155";"10008";"20.9";"2018"
"156";"8639";"94.1";"2018"
"157";"7857";"201.2";"2018"
"158";"7118";"70.1";"2018"
"159";"6615";"113.1";"2018"
"160";"6305";"1.7";"2018"
"161";"6216";"65.1";"2018"
"162";"9860";"0";"2018"
"163";"66921";"0";"2018"
"164";"48192";"3.5";"2018"
"165";"48160";"102.7";"2018"
"166";"48033";"0";"2018"
"167";"47967";"43.8";"2018"
"168";"47809";"86.2";"2018"
"169";"47698";"48.7";"2018"
"170";"47669";"12.3";"2018"
"171";"47593";"1.4";"2018"
"172";"47561";"0";"2018"
"173";"47417";"0";"2018"
"174";"21528";"5.9";"2018"
"175";"12163";"0";"2018"
"176";"12144";"1.9";"2018"
"177";"12137";"1.2";"2018"
"178";"11927";"45.5";"2018"
"179";"11920";"1.7";"2018"
"180";"11888";"50.7";"2018"
"181";"11865";"140";"2018"
"182";"11846";"1.2";"2018"
"183";"10816";"0";"2018"
"184";"10774";"58.2";"2018"
"185";"10689";"183.1";"2018"
"186";"10075";"141.6";"2018"
"187";"10038";"12.6";"2018"
"188";"9964";"1.3";"2018"
"189";"9878";"4.7";"2018"
"190";"9859";"27";"2018"
"191";"9520";"1.7";"2018"
"192";"9509";"77.4";"2018"
"193";"9502";"177";"2018"
"194";"9453";"113.3";"2018"
"195";"8999";"100.4";"2018"
"196";"8741";"44.1";"2018"
"197";"8698";"154.4";"2018"
"198";"8254";"35.8";"2018"
"199";"8128";"52.4";"2018"
"200";"7810";"82";"2018"
"201";"7472";"24";"2018"
"202";"7428";"61.6";"2018"
"203";"7330";"99.3";"2018"
"204";"7084";"130.5";"2018"
"205";"6944";"45.1";"2018"
"206";"6489";"22.7";"2018"
"207";"5722";"2.3";"2018"
"208";"5602";"31.5";"2018"
"209";"5585";"136.6";"2018"
"210";"4717";"88.2";"2018"
"211";"1724";"132.3";"2018"
"212";"66957";"13.3";"2018"
"213";"66933";"5.2";"2018"
"214";"66438";"2.8";"2018"
"215";"48262";"162.8";"2018"
"216";"48228";"76.2";"2018"
"217";"48182";"20.9";"2018"
"218";"48181";"0";"2018"
"219";"48088";"0";"2018"
"220";"48021";"33.2";"2018"
"221";"47895";"5.5";"2018"
"222";"47792";"27.8";"2018"
"223";"44771";"6.9";"2018"
"224";"31892";"0";"2018"
"225";"28991";"12.8";"2018"
"226";"26075";"72.7";"2018"
"227";"23254";"0";"2018"
"228";"12303";"53.3";"2018"
"229";"12270";"78.3";"2018"
"230";"12215";"26.2";"2018"
"231";"12087";"42.9";"2018"
"232";"12067";"5.1";"2018"
"233";"11974";"0";"2018"
"234";"11921";"5.3";"2018"
"235";"11883";"1.7";"2018"
"236";"11872";"66";"2018"
"237";"11867";"0";"2018"
"238";"11853";"24";"2018"
"239";"11851";"171.1";"2018"
"240";"11817";"228.2";"2018"
"241";"11795";"105.1";"2018"
"242";"11792";"109.9";"2018"
"243";"11760";"142.8";"2018"
"244";"11231";"11.2";"2018"
"245";"11074";"19";"2018"
"246";"10833";"28.5";"2018"
"247";"10806";"88.1";"2018"
"248";"10799";"258.4";"2018"
"249";"10751";"0";"2018"
"250";"10720";"17.8";"2018"
"251";"10657";"52.5";"2018"
"252";"10649";"10.1";"2018"
"253";"10154";"112";"2018"
"254";"9883";"16.9";"2018"
"255";"9619";"0";"2018"
"256";"9592";"9.9";"2018"
"257";"9538";"67.1";"2018"
"258";"9462";"52.4";"2018"
"259";"9437";"175.4";"2018"
"260";"9292";"0";"2018"
"261";"9079";"79.2";"2018"
"262";"9002";"111.3";"2018"
"263";"8943";"77.7";"2018"
"264";"8931";"45.1";"2018"
"265";"8824";"23";"2018"
"266";"8726";"121.7";"2018"
"267";"8725";"104.7";"2018"
"268";"8696";"126.8";"2018"
"269";"8680";"49.1";"2018"
"270";"8677";"52";"2018"
"271";"8663";"55.1";"2018"
"272";"8647";"181.6";"2018"
"273";"8642";"215.8";"2018"
"274";"8288";"244.6";"2018"
"275";"7991";"15";"2018"
"276";"7926";"105.6";"2018"
"277";"7860";"0";"2018"
"278";"7859";"74.9";"2018"
"279";"7822";"219.1";"2018"
"280";"7815";"3.6";"2018"
"281";"7789";"34";"2018"
"282";"7513";"24.6";"2018"
"283";"7158";"98.3";"2018"
"284";"7019";"18.5";"2018"
"285";"6671";"8.3";"2018"
"286";"6597";"46.2";"2018"
"287";"6468";"79.3";"2018"
"288";"6328";"7.2";"2018"
"289";"6158";"247.1";"2018"
"290";"6156";"126.4";"2018"
"291";"5612";"16.6";"2018"
"292";"5606";"156.6";"2018"
"293";"5547";"127.2";"2018"
"294";"5156";"150.9";"2018"
"295";"4930";"0.7";"2018"
"296";"4519";"46.6";"2018"
"297";"4467";"0";"2018"
"298";"4363";"130.8";"2018"
"299";"3064";"25.1";"2018"
"300";"66446";"38.6";"2018"
"301";"48103";"123.9";"2018"
"302";"47297";"68.8";"2018"
"303";"46027";"79.2";"2018"
"304";"45996";"10";"2018"
"305";"45993";"4.9";"2018"
"306";"45932";"83.2";"2018"
"307";"45851";"49.3";"2018"
"308";"45791";"316.1";"2018"
"309";"45783";"181.5";"2018"
"310";"45747";"81";"2018"
"311";"45741";"29.9";"2018"
"312";"45695";"7.8";"2018"
"313";"45691";"15";"2018"
"314";"45675";"19.4";"2018"
"315";"45662";"67.6";"2018"
"316";"39541";"0";"2018"
"317";"34761";"5.8";"2018"
"318";"34455";"124.4";"2018"
"319";"34001";"17.2";"2018"
"320";"31615";"5.8";"2018"
"321";"29539";"52.6";"2018"
"322";"29413";"38.5";"2018"
"323";"27875";"6.1";"2018"
"324";"27589";"131.6";"2018"
"325";"27414";"65.3";"2018"
"326";"26618";"51.3";"2018"
"327";"25681";"3.1";"2018"
"328";"23614";"11.5";"2018"
"329";"13014";"11.5";"2018"
"330";"12660";"205.3";"2018"
"331";"12271";"150";"2018"
"332";"12253";"66.1";"2018"
"333";"12202";"1.9";"2018"
"334";"12164";"138.5";"2018"
"335";"12006";"0";"2018"
"336";"12004";"173";"2018"
"337";"11958";"0";"2018"
"338";"11943";"71.9";"2018"
"339";"11937";"159.4";"2018"
"340";"11935";"7.4";"2018"
"341";"11917";"0.4";"2018"
"342";"11911";"11.7";"2018"
"343";"11898";"149.3";"2018"
"344";"11895";"28";"2018"
"345";"11889";"95.4";"2018"
"346";"11874";"187.2";"2018"
"347";"11869";"4.5";"2018"
"348";"11860";"237.6";"2018"
"349";"11844";"8.7";"2018"
"350";"11841";"217.2";"2018"
"351";"11822";"307.7";"2018"
"352";"11803";"211";"2018"
"353";"11797";"0";"2018"
"354";"11796";"126";"2018"
"355";"11763";"320.7";"2018"
"356";"11759";"109.4";"2018"
"357";"11395";"121.8";"2018"
"358";"11076";"5.9";"2018"
"359";"11057";"1.5";"2018"
"360";"11047";"0.8";"2018"
"361";"10927";"134";"2018"
"362";"10870";"4.6";"2018"
"363";"10805";"104.1";"2018"
"364";"10790";"0.6";"2018"
"365";"10787";"91.7";"2018"
"366";"10784";"146.1";"2018"
"367";"10770";"63.9";"2018"
"368";"10768";"39";"2018"
"369";"10753";"5";"2018"
"370";"10724";"3.4";"2018"
"371";"10707";"168.7";"2018"
"372";"10679";"183.2";"2018"
"373";"10638";"286.6";"2018"
"374";"9996";"17.3";"2018"
"375";"9902";"34.9";"2018"
"376";"9827";"15.2";"2018"
"377";"9783";"36.6";"2018"
"378";"9761";"34.8";"2018"
"379";"9663";"33.1";"2018"
"380";"9607";"3.1";"2018"
"381";"9582";"39.9";"2018"
"382";"9578";"0";"2018"
"383";"9559";"107.2";"2018"
"384";"9558";"77.1";"2018"
"385";"9527";"57.1";"2018"
"386";"9519";"212.3";"2018"
"387";"9510";"100.6";"2018"
"388";"9506";"163.7";"2018"
"389";"9487";"4.4";"2018"
"390";"9469";"146.6";"2018"
"391";"9448";"237.4";"2018"
"392";"9443";"337.6";"2018"
"393";"9295";"130.2";"2018"
"394";"9205";"75.7";"2018"
"395";"9184";"1.6";"2018"
"396";"9047";"10.8";"2018"
"397";"8906";"49.8";"2018"
"398";"8816";"83.9";"2018"
"399";"8765";"218.2";"2018"
"400";"8738";"11.6";"2018"
"401";"8692";"90.5";"2018"
"402";"8690";"3.6";"2018"
"403";"8101";"42";"2018"
"404";"7980";"83.6";"2018"
"405";"7975";"69";"2018"
"406";"7971";"33";"2018"
"407";"7963";"7.9";"2018"
"408";"7962";"117.1";"2018"
"409";"7946";"4.7";"2018"
"410";"7936";"65.2";"2018"
"411";"7843";"0.9";"2018"
"412";"7818";"75.9";"2018"
"413";"7641";"0";"2018"
"414";"7469";"27.5";"2018"
"415";"7165";"46.1";"2018"
"416";"7106";"0.8";"2018"
"417";"7097";"148.5";"2018"
"418";"7090";"6.1";"2018"
"419";"7035";"104.3";"2018"
"420";"6301";"128.4";"2018"
"421";"6297";"64";"2018"
"422";"6278";"54.8";"2018"
"423";"6277";"0";"2018"
"424";"6225";"15.3";"2018"
"425";"6180";"125.7";"2018"
"426";"6007";"60.9";"2018"
"427";"5863";"80";"2018"
"428";"4976";"98.8";"2018"
"429";"4387";"2.4";"2018"
"430";"4327";"1.7";"2018"
"431";"3628";"71.5";"2018"
"432";"3623";"180";"2018"
"433";"2347";"48.9";"2018"
"434";"2282";"95.6";"2018"
"435";"48862";"0";"2018"
"436";"48457";"0";"2018"
"437";"47053";"2.6";"2018"
"438";"45732";"3.4";"2018"
"439";"28451";"0";"2018"
"440";"12888";"0";"2018"
"441";"12329";"0";"2018"
"442";"12238";"0";"2018"
"443";"11948";"13.4";"2018"
