"";"player_id";"fantasy_pts";"year";"sleeper_id"
"146";"45416";"43.9";"2018";"4998"
"147";"38276";"18";"2018";"5139"
"148";"22489";"6";"2018";"5175"
"149";"11991";"0";"2018";"4252"
"150";"11932";"37.3";"2018";"4218"
"151";"11894";"-0.4";"2018";"4169"
"152";"11824";"115.1";"2018";"4039"
"153";"11107";"19.6";"2018";"3433"
"154";"10918";"81.9";"2018";"3582"
"155";"10008";"20.9";"2018";"2699"
"156";"8639";"94.1";"2018";"1817"
"157";"7857";"201.2";"2018";"1479"
"158";"7118";"70.1";"2018";"1215"
"159";"6615";"113.1";"2018";"988"
"160";"6305";"1.7";"2018";"817"
"161";"6216";"65.1";"2018";"928"
"162";"9860";"0";"2018";"3034"
"163";"66921";"0";"2018";"5267"
"164";"48192";"3.5";"2018";"5130"
"165";"48160";"102.7";"2018";"5013"
"166";"48033";"0";"2018";"4614"
"167";"47967";"43.8";"2018";"5323"
"168";"47809";"86.2";"2018";"5086"
"169";"47698";"48.7";"2018";"5007"
"170";"47669";"12.3";"2018";"5289"
"171";"47593";"1.4";"2018";"5625"
"172";"47561";"0";"2018";"5567"
"173";"47417";"0";"2018";"4854"
"174";"21528";"5.9";"2018";"5570"
"175";"12163";"0";"2018";"4489"
"176";"12144";"1.9";"2018";"4355"
"177";"12137";"1.2";"2018";"4491"
"178";"11927";"45.5";"2018";"4197"
"179";"11920";"1.7";"2018";"4198"
"180";"11888";"50.7";"2018";"4162"
"181";"11865";"140";"2018";"4146"
"182";"11846";"1.2";"2018";"4129"
"183";"10816";"0";"2018";"3338"
"184";"10774";"58.2";"2018";"3297"
"185";"10689";"183.1";"2018";"3225"
"186";"10075";"141.6";"2018";"2822"
"187";"10038";"12.6";"2018";"2602"
"188";"9964";"1.3";"2018";"2673"
"189";"9878";"4.7";"2018";"2980"
"190";"9859";"27";"2018";"2750"
"191";"9520";"1.7";"2018";"2392"
"192";"9509";"77.4";"2018";"2381"
"193";"9502";"177";"2018";"2374"
"194";"9453";"113.3";"2018";"2325"
"195";"8999";"100.4";"2018";"1911"
"196";"8741";"44.1";"2018";"2255"
"197";"8698";"154.4";"2018";"1825"
"198";"8254";"35.8";"2018";"1333"
"199";"8128";"52.4";"2018";"1684"
"200";"7810";"82";"2018";"1535"
"201";"7472";"24";"2018";"1312"
"202";"7428";"61.6";"2018";"1290"
"203";"7330";"99.3";"2018";"1144"
"204";"7084";"130.5";"2018";"1071"
"205";"6944";"45.1";"2018";"1020"
"206";"6489";"22.7";"2018";"940"
"207";"5722";"2.3";"2018";"606"
"208";"5602";"31.5";"2018";"613"
"209";"5585";"136.6";"2018";"642"
"210";"4717";"88.2";"2018";"491"
"211";"1724";"132.3";"2018";"223"
"212";"66957";"13.3";"2018";"5260"
"213";"66933";"5.2";"2018";"5383"
"214";"66438";"2.8";"2018";"4878"
"215";"48262";"162.8";"2018";"4981"
"216";"48228";"76.2";"2018";"5026"
"217";"48182";"20.9";"2018";"5080"
"218";"48181";"0";"2018";"5102"
"219";"48088";"0";"2018";"5135"
"220";"48021";"33.2";"2018";"5154"
"221";"47895";"5.5";"2018";"5096"
"222";"47792";"27.8";"2018";"5024"
"223";"44771";"6.9";"2018";"5110"
"224";"31892";"0";"2018";"4750"
"225";"28991";"12.8";"2018";"5137"
"226";"26075";"72.7";"2018";"5038"
"227";"23254";"0";"2018";"5722"
"228";"12303";"53.3";"2018";"4319"
"229";"12270";"78.3";"2018";"4454"
"230";"12215";"26.2";"2018";"4416"
"231";"12087";"42.9";"2018";"4351"
"232";"12067";"5.1";"2018";"4480"
"233";"11974";"0";"2018";"4254"
"234";"11921";"5.3";"2018";"4214"
"235";"11883";"1.7";"2018";"4160"
"236";"11872";"66";"2018";"4171"
"237";"11867";"0";"2018";"4158"
"238";"11853";"24";"2018";"4128"
"239";"11851";"171.1";"2018";"4131"
"240";"11817";"228.2";"2018";"4040"
"241";"11795";"105.1";"2018";"4082"
"242";"11792";"109.9";"2018";"4080"
"243";"11760";"142.8";"2018";"4036"
"244";"11231";"11.2";"2018";"3614"
"245";"11074";"19";"2018";"3445"
"246";"10833";"28.5";"2018";"3355"
"247";"10806";"88.1";"2018";"3328"
"248";"10799";"258.4";"2018";"3321"
"249";"10751";"0";"2018";"3278"
"250";"10720";"17.8";"2018";"3253"
"251";"10657";"52.5";"2018";"3155"
"252";"10649";"10.1";"2018";"3177"
"253";"10154";"112";"2018";"2583"
"254";"9883";"16.9";"2018";"2821"
"255";"9619";"0";"2018";"2487"
"256";"9592";"9.9";"2018";"2462"
"257";"9538";"67.1";"2018";"2410"
"258";"9462";"52.4";"2018";"2334"
"259";"9437";"175.4";"2018";"2309"
"260";"9292";"0";"2018";"2171"
"261";"9079";"79.2";"2018";"2039"
"262";"9002";"111.3";"2018";"1903"
"263";"8943";"77.7";"2018";"2025"
"264";"8931";"45.1";"2018";"1984"
"265";"8824";"23";"2018";"2121"
"266";"8726";"121.7";"2018";"2238"
"267";"8725";"104.7";"2018";"1971"
"268";"8696";"126.8";"2018";"1992"
"269";"8680";"49.1";"2018";"2279"
"270";"8677";"52";"2018";"1800"
"271";"8663";"55.1";"2018";"2182"
"272";"8647";"181.6";"2018";"2078"
"273";"8642";"215.8";"2018";"2216"
"274";"8288";"244.6";"2018";"1689"
"275";"7991";"15";"2018";"1471"
"276";"7926";"105.6";"2018";"1555"
"277";"7860";"0";"2018";"1413"
