Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende
Joe Mixon;11803;2024;6;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;7;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;8;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;9;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;10;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;11;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;12;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;13;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;14;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;15;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Joe Mixon;11803;2024;16;Arneee;18970000;23712500;1185625;1482031;;16;Roster;;2024
Jonathan Taylor;57488;2021;0;Arneee;16240000;16240000;;;;;Roster;;2024
Jonathan Taylor;57488;2021;1;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;2;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;3;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;4;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;5;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;6;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;7;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;8;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;9;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;10;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;11;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;12;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;13;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;14;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;15;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2021;16;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
