"";"player_id";"fantasy_pts";"year";"sleeper_id";"position"
"113";"12087";"20.3";"2019";"4351";"WR"
"114";"12077";"0";"2019";"4050";"WR"
"115";"12014";"0.3";"2019";"4526";"WR"
"116";"11981";"41.2";"2019";"4274";"WR"
"117";"11873";"8";"2019";"4177";"WR"
"118";"11872";"43.8";"2019";"4171";"WR"
"119";"11764";"68";"2019";"4038";"WR"
"120";"11762";"144";"2019";"4068";"WR"
"121";"11440";"50.6";"2019";"3895";"WR"
"122";"11074";"36.7";"2019";"3445";"WR"
"123";"10840";"-1.2";"2019";"3652";"WR"
"124";"10833";"4.1";"2019";"3355";"WR"
"125";"10797";"32.8";"2019";"3319";"WR"
"126";"10681";"271.8";"2019";"3199";"WR"
"127";"10674";"83.8";"2019";"3200";"WR"
"128";"10656";"0";"2019";"3178";"WR"
"129";"10655";"100.5";"2019";"3157";"WR"
"130";"10154";"111.2";"2019";"2583";"WR"
"131";"10038";"-0.6";"2019";"2602";"WR"
"132";"9964";"32.5";"2019";"2673";"WR"
"133";"9579";"200.6";"2019";"2449";"WR"
"134";"9540";"16";"2019";"2412";"WR"
"135";"9509";"107.4";"2019";"2381";"WR"
"136";"9474";"2.9";"2019";"2346";"WR"
"137";"9459";"82.9";"2019";"2331";"WR"
"138";"9453";"39.5";"2019";"2325";"WR"
"139";"9447";"173";"2019";"2319";"WR"
"140";"9079";"41.7";"2019";"2039";"WR"
"141";"8725";"-8.4";"2019";"1971";"WR"
"142";"8696";"146.7";"2019";"1992";"WR"
"143";"8691";"40.6";"2019";"2004";"WR"
"144";"8688";"122.8";"2019";"2133";"WR"
"145";"8655";"80.5";"2019";"2197";"WR"
"146";"8642";"182.9";"2019";"2216";"WR"
"147";"8639";"85.9";"2019";"1817";"WR"
"148";"7808";"169.6";"2019";"1426";"WR"
"149";"7472";"2";"2019";"1312";"WR"
"150";"7048";"70.4";"2019";"1149";"WR"
"151";"6468";"2.6";"2019";"1329";"WR"
"152";"6158";"193.6";"2019";"947";"WR"
"153";"4467";"0";"2019";"312";"WR"
"154";"48341";"46.5";"2019";"6402";"WR"
"155";"48213";"1";"2019";"6363";"WR"
"156";"48021";"5";"2019";"5154";"WR"
"157";"47961";"14.3";"2019";"5121";"WR"
"158";"47509";"76.1";"2019";"5955";"WR"
"159";"45416";"19.9";"2019";"4998";"WR"
"160";"39588";"2.9";"2019";"5166";"WR"
"161";"39145";"0";"2019";"6593";"WR"
"162";"29578";"3.7";"2019";"5119";"K"
"163";"29347";"-1.3";"2019";"6519";"WR"
"164";"12258";"24.7";"2019";"6744";"WR"
"165";"12043";"2.2";"2019";"4669";"WR"
"166";"11824";"169.7";"2019";"4039";"WR"
"167";"10689";"127.5";"2019";"3225";"WR"
"168";"10075";"54";"2019";"2822";"WR"
"169";"9538";"100.9";"2019";"2410";"WR"
"170";"8999";"56.3";"2019";"1911";"WR"
"171";"8943";"34.9";"2019";"2025";"WR"
"172";"7118";"17.3";"2019";"1215";"WR"
"173";"6216";"113.1";"2019";"928";"WR"
"174";"5612";"-0.6";"2019";"627";"WR"
"175";"5585";"93.3";"2019";"642";"WR"
"176";"5156";"151.1";"2019";"344";"WR"
"177";"4717";"76.4";"2019";"491";"WR"
"178";"1724";"106.3";"2019";"223";"WR"
"179";"8995";"0";"2019";"1961";"G"
"180";"91248";"3";"2019";"5828";"WR"
"181";"66915";"19.9";"2019";"5374";"WR"
"182";"48228";"38.1";"2019";"5026";"WR"
"183";"48170";"3.7";"2019";"5113";"WR"
"184";"48160";"83";"2019";"5013";"WR"
"185";"48143";"17.1";"2019";"6032";"WR"
"186";"48017";"0";"2019";"5134";"WR"
"187";"47940";"20.2";"2019";"5880";"WR"
"188";"47882";"41.7";"2019";"6088";"WR"
"189";"47698";"33.7";"2019";"5007";"WR"
"190";"47468";"44.8";"2019";"5947";"WR"
"191";"44771";"43";"2019";"5110";"WR"
"192";"42247";"-1";"2019";"5938";"WR"
"193";"38276";"12";"2019";"5139";"WR"
"194";"33158";"0";"2019";"6380";"WR"
"195";"23254";"0";"2019";"5722";"WR"
"196";"12303";"94.3";"2019";"4319";"WR"
"197";"12215";"-1.7";"2019";"4416";"WR"
"198";"11888";"-0.6";"2019";"4162";"WR"
"199";"11865";"69";"2019";"4146";"WR"
"200";"11839";"232.7";"2019";"4037";"WR"
"201";"11817";"79.2";"2019";"4040";"WR"
"202";"11163";"4.2";"2019";"3730";"WR"
"203";"11141";"28.4";"2019";"3503";"WR"
"204";"11028";"29";"2019";"3634";"WR"
"205";"10918";"27.9";"2019";"3582";"WR"
"206";"10774";"58.2";"2019";"3297";"WR"
"207";"10751";"28.7";"2019";"3278";"WR"
"208";"10657";"31.3";"2019";"3155";"WR"
"209";"9502";"163.2";"2019";"2374";"WR"
"210";"8759";"0";"2019";"2023";"WR"
"211";"8698";"155.4";"2019";"1825";"WR"
"212";"8128";"34";"2019";"1684";"WR"
"213";"7857";"155.6";"2019";"1479";"WR"
"214";"7330";"114.1";"2019";"1144";"WR"
"215";"6597";"22.5";"2019";"2291";"WR"
"216";"95015";"3.8";"2019";"6699";"WR"
"217";"94379";"0";"2019";"6588";"WR"
"218";"91470";"4.4";"2019";"6234";"WR"
"219";"61737";"4.9";"2019";"6549";"WR"
"220";"50293";"3.7";"2019";"6120";"DT"
"221";"48297";"17.7";"2019";"5878";"WR"
"222";"48230";"6.1";"2019";"5250";"WR"
"223";"48192";"61";"2019";"5130";"WR"
"224";"48113";"12.3";"2019";"4992";"WR"
"225";"48110";"-4.9";"2019";"6069";"WR"
"226";"48078";"39.5";"2019";"5781";"WR"
"227";"47931";"41.9";"2019";"5884";"WR"
"228";"47900";"1.7";"2019";"5241";"WR"
"229";"47792";"107";"2019";"5024";"WR"
"230";"47702";"155.3";"2019";"4951";"WR"
"231";"47546";"95.2";"2019";"4950";"WR"
"232";"47508";"-1";"2019";"5132";"WR"
"233";"47417";"0";"2019";"4854";"WR"
"234";"41406";"13.1";"2019";"5111";"WR"
"235";"34164";"-2";"2019";"6421";"WR"
"236";"33441";"99.9";"2019";"5937";"WR"
"237";"29726";"7.1";"2019";"5661";"WR"
"238";"28991";"28.8";"2019";"5137";"WR"
"239";"26586";"0";"2019";"6168";"WR"
"240";"26104";"4.9";"2019";"5773";"WR"
"241";"25578";"121";"2019";"6149";"WR"
"242";"23670";"12";"2019";"4942";"WR"
"243";"12270";"62.6";"2019";"4454";"WR"
"244";"12163";"0";"2019";"4489";"WR"
"245";"12088";"4.2";"2019";"4344";"WR"
"246";"12067";"-2.5";"2019";"4480";"WR"
"247";"12052";"1.6";"2019";"4420";"WR"
"248";"11991";"20";"2019";"4252";"WR"
"249";"11964";"1.4";"2019";"4285";"WR"
"250";"11927";"32.7";"2019";"4197";"WR"
"251";"11920";"1.3";"2019";"4198";"WR"
"252";"11883";"0";"2019";"4160";"WR"
"253";"11853";"-1";"2019";"4128";"WR"
"254";"11851";"189.6";"2019";"4131";"WR"
"255";"11827";"-1";"2019";"4125";"WR"
"256";"11795";"94.3";"2019";"4082";"WR"
"257";"11792";"10.6";"2019";"4080";"WR"
"258";"11760";"75.9";"2019";"4036";"WR"
"259";"11366";"11.6";"2019";"3846";"WR"
"260";"11354";"-6";"2019";"3476";"WR"
"261";"11254";"111.8";"2019";"3423";"WR"
"262";"11107";"54.2";"2019";"3433";"WR"
"263";"10820";"12.3";"2019";"3342";"WR"
"264";"10806";"7";"2019";"3328";"WR"
"265";"10799";"133.4";"2019";"3321";"WR"
"266";"10760";"61.5";"2019";"3286";"WR"
"267";"10741";"0.7";"2019";"3269";"WR"
"268";"9883";"33.9";"2019";"2821";"WR"
"269";"9859";"15.9";"2019";"2750";"WR"
"270";"9697";"1";"2019";"2801";"WR"
"271";"9619";"6.1";"2019";"2487";"WR"
